global_id,name,device,technique,operator,sample_global_id,sample_name,description,spot_global_id,spot_attachment_file_global_id,spot_x_image,spot_y_image,Sr (ng/g),Sr_error,Li (ng/g),Li_error,SiO2 (ug/g),SiO2_error,d18O (ug/g),d18O_error,d17O (ug/g),d17O_error,Cl (ug/g),Cl_error,F (ug/g),F_error,S (cg/g),S_error,C (ug/g),C_error,H2O (ug/g),H2O_error,P2O5 (ug/g),P2O5_error,K2O (ug/g),K2O_error,Na2O (ug/g),Na2O_error,CaO (ug/g),CaO_error,MgO (cg/g),MgO_error,NiO (ug/g),NiO_error,MnO (ug/g),MnO_error,FeO (cg/g),FeO_error,Cr2O3 (ug/g),Cr2O3_error,Al2O3 (ug/g),Al2O3_error,TiO2 (ug/g),TiO2_error,total (cg/g),total_error,SO3 (ug/g),SO3_error
20131030170807-663861,ys_ol_CBK1a@75,Cameca ims 5f,,,20130528105407-768847,TS CBK-1-a,,20131030170811-891119,20131030170749-346152,555.0,-416.0,93.3746528783193,11.0500068888619,1263.30814608995,12.2460306922275,377000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131030170812-520295,ys_ol_CBK1a@76,Cameca ims 5f,,,20130528105407-768847,TS CBK-1-a,,20131030170815-560580,20131030170749-346152,639.0,-470.0,144.34708262119702,16.510434175301597,1575.13928583652,20.9299364044494,377000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131030170816-732600,ys_ol_CBK1a@77,Cameca ims 5f,,,20130528105407-768847,TS CBK-1-a,,20131030170820-799130,20131030170749-346152,709.0,-537.0,129.952103440593,11.3589198874231,2237.68909664791,31.46241972584459,377000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131030170821-227273,ys_ol_CBK1a@78,Cameca ims 5f,,,20130528105407-768847,TS CBK-1-a,,20131030170825-801720,20131030170749-346152,769.0,-621.0,111.939008187229,10.8552682656689,2365.57517624912,43.491250779302,377000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131030170826-369997,ys_ol_CBK1a@79,Cameca ims 5f,,,20130528105407-768847,TS CBK-1-a,,20131030170830-760462,20131030170749-346152,851.0,-702.0,102.208349248944,12.8795650994321,450.388208116658,7.75295046125811,377000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131030170831-600992,ys_ol_CBK1a@80,Cameca ims 5f,,,20130528105407-768847,TS CBK-1-a,,20131030170835-375370,20131030170749-346152,963.0,-755.0,8934.74194203554,107.047730173511,1733.71234037708,34.3216128304148,377000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131030170836-101572,ys_ol_CBK1a@81,Cameca ims 5f,,,20130528105407-768847,TS CBK-1-a,,20131030170842-837872,20131030170841-303582,506.0,-113.0,1786.18170960531,83.12010563031,2209.99820125786,17.797409476857098,377000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131030170843-942720,ys_ol_CBK1a@82,Cameca ims 5f,,,20130528105407-768847,TS CBK-1-a,,20131030170847-443045,20131030170841-303582,527.0,-244.0,225.974101266344,24.8956624735136,2117.51302799456,19.6880768363142,377000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131030170848-113438,ys_ol_CBK1a@83,Cameca ims 5f,,,20130528105407-768847,TS CBK-1-a,,20131030170852-764804,20131030170841-303582,567.0,-369.0,274.713824064801,30.1580860172319,2157.47524301207,17.833069441585497,377000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131030170853-631476,ys_ol_CBK1a@84,Cameca ims 5f,,,20130528105407-768847,TS CBK-1-a,,20131030170857-660500,20131030170841-303582,598.0,-477.0,110.422743746754,15.0143376100733,1427.69501148247,17.716193756288096,377000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131030170858-233425,ys_ol_CBK1a@85,Cameca ims 5f,,,20130528105407-768847,TS CBK-1-a,,20131030170902-123110,20131030170841-303582,597.0,-573.0,74.566233035962,10.9648663985628,2801.97431062375,15.954255424347396,377000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131030170903-073481,ys_ol_CBK1a@86,Cameca ims 5f,,,20130528105407-768847,TS CBK-1-a,,20131030170907-523024,20131030170841-303582,593.0,-630.0,118.79799361119602,13.0820645062951,3830.89577328214,12.7578194501232,377000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131030170909-998770,ys_ol_CBK1a@87,Cameca ims 5f,,,20130528105407-768847,TS CBK-1-a,,20131030170912-157153,20131030170841-303582,653.0,-699.0,105.032484856041,10.5547497716358,2108.94050608714,14.5524814224125,377000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131030170913-339701,ys_ol_CBK1a@88,Cameca ims 5f,,,20130528105407-768847,TS CBK-1-a,,20131030170917-016385,20131030170841-303582,600.0,-777.0,336.53764506558497,27.953552267829796,3147.03822760469,34.35205331926709,377000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131030170918-678798,ys_ol_CBK1a@89,Cameca ims 5f,,,20130528105407-768847,TS CBK-1-a,,20131030170923-266784,20131030170841-303582,532.0,-802.0,1516.87108242149,53.48159339915399,2045.00268767576,18.0274746588638,377000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131030170924-925545,ys_ol_CBK1a@90,Cameca ims 5f,,,20130528105407-768847,TS CBK-1-a,,20131030170928-557163,20131030170841-303582,464.0,-709.0,1921.80116825164,54.2370634050522,1620.44183285448,16.606207997196698,377000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131030170929-207938,ys_ol_CBK1a@91,Cameca ims 5f,,,20130528105407-768847,TS CBK-1-a,,20131030170933-750507,20131030170552-848416,448.0,-818.0,576.809119291045,35.283246045548495,1069.3000407885,15.6972709010398,377000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131030170945-343613,ys_ol_CBK1a@94,Cameca ims 5f,,,20130528105407-768847,TS CBK-1-a,,20131030170949-100713,20131030170552-848416,555.0,-568.0,12202.670241644,172.53868791893,1250.44035232092,14.2340994688643,377000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131030170950-905800,ys_ol_CBK1a@95,Cameca ims 5f,,,20130528105407-768847,TS CBK-1-a,,20131030170954-387165,20131030170552-848416,586.0,-509.0,136.18848210494,13.6992629546521,1825.90972308756,19.8360872238394,377000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131030170955-180735,ys_ol_CBK1a@96,Cameca ims 5f,,,20130528105407-768847,TS CBK-1-a,,20131030170959-470185,20131030170552-848416,588.0,-443.0,870.2979343431189,52.7801041221971,1320.75302526531,14.2720661727604,377000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131030171000-498062,ys_ol_CBK1a@97,Cameca ims 5f,,,20130528105407-768847,TS CBK-1-a,,20131030171004-955307,20131030170552-848416,634.0,-348.0,145.653824613852,14.1681620197487,523.927147767254,11.2204023244807,377000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131030171005-484268,ys_ol_CBK1a@98,Cameca ims 5f,,,20130528105407-768847,TS CBK-1-a,,20131030171009-737696,20131030170552-848416,649.0,-285.0,999.1189375558668,58.2040232396426,2650.15055464925,22.9810408415222,377000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131107212922-287345,ys_ol_CBK1a@99,,,,20130528105407-768847,TS CBK-1-a,,20131107212925-075698,20131030170552-848416,688.0,-142.0,150.653325237862,13.2676062651075,2146.38328969573,19.499679730642494,377000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130630105039-442928,LF5119,MAT253,,,20130612154927-984840,slab-CBK-1-c,,,,,,,,,,,,5129.0,10.0,3947.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130630104854-729788,LF5117,MAT253,,,20130612154927-984840,slab-CBK-1-c,,,,,,,,,,,,5102.0,9.0,3929.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130630104655-062249,LF5115,MAT253,,,20130612154927-984840,slab-CBK-1-c,,,,,,,,,,,,5192.0,7.0,3947.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131217183231-211145,CBK-1-e,PW2400,XRF,HK,20130809084217-096423,powder CBK-1-e,,,,,,,,,,401000.0,,,,,,99.0,,25.0,,1.41,,500.0,,6700.0,,2300.0,,1400.0,,10100.0,,20200.0,,24.7,,10600.0,,3100.0,,24.9,,6400.0,,17800.0,,900.0,,,,,
20131126174415-946873,CBK-1-i/O-3iso/ys_chr_cbk1i@1731@1732/@1731,SEM-EDS,,,20130902160128-765898,mount CBK-1-i,,20131126174422-253840,20131126174422-350366,227.4482421875,-430.390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89,,,,6100.0,,33.47,,544400.0,,56900.0,,33900.0,,99.49,,,
20131126174429-805047,CBK-1-i/O-3iso/ys_chr_cbk1i@1731@1732/@1732,SEM-EDS,,,20130902160128-765898,mount CBK-1-i,,20131126174433-109719,20131126174422-350366,562.5380859375,-112.208984375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100.0,,,,62.56,,,,,,,,100.17,,373000.0,
20131126174529-671929,CBK-1-i/O-3iso/ys_chr_cbk1i@1734@1735/@1734,SEM-EDS,,,20130902160128-765898,mount CBK-1-i,,20131126174538-223904,20131126174537-837464,345.8056640625,-215.1953125,,,,,7900.0,,,,,,,,,,,,,,,,,,,,,,2500.0,,4.13,,,,6100.0,,29.8,,551900.0,,54800.0,,34400.0,,99.68,,,
20131126174544-665464,CBK-1-i/O-3iso/ys_chr_cbk1i@1734@1735/@1735,SEM-EDS,,,20130902160128-765898,mount CBK-1-i,,20131126174551-396693,20131126174537-837464,339.6572265625,-297.4306640625,,,,,9200.0,,,,,,,,,,,,,,,,,,,,,,2000.0,,2.9,,,,5000.0,,31.2,,550100.0,,53700.0,,35500.0,,99.65,,,
20131126174625-663226,CBK-1-i/O-3iso/ys_chr_cbk1i@1737/@1737,SEM-EDS,,,20130902160128-765898,mount CBK-1-i,,20131126174632-231354,20131126174631-618696,336.5830078125,-268.2255859375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5800.0,,33.17,,655400.0,,,,2500.0,,99.53,,,
20131126174317-636125,CBK-1-i/O-3iso/ys_mer_cbk1i@1717@1718/@1717,SEM-EDS,,,20130902160128-765898,mount CBK-1-i,,20131126174324-532722,20131126174323-128252,291.23828125,-212.12109375,,,,,,,,,,,,,,,,,,,,,499700.0,,,,10900.0,,441400.0,,3.57,,,,,,1.4,,,,,,,,100.18,,,
