technique,,LA-ICPMS,LA-ICPMS,LA-ICPMS,LA-ICPMS,LA-ICPMS,LA-ICPMS,LA-ICPMS,LA-ICPMS,LA-ICPMS,LA-ICPMS,LA-ICPMS,LA-ICPMS,LA-ICPMS,LA-ICPMS,LA-ICPMS,LA-ICPMS,LA-ICPMS,LA-ICPMS,LA-ICPMS,LA-ICPMS,LA-ICPMS,LA-ICPMS,LA-ICPMS,LA-ICPMS
instrument,,Thermo iCAP-Q,Thermo iCAP-Q,Thermo iCAP-Q,Thermo iCAP-Q,Thermo iCAP-Q,Thermo iCAP-Q,Thermo iCAP-Q,Thermo iCAP-Q,Thermo iCAP-Q,Thermo iCAP-Q,Thermo iCAP-Q,Thermo iCAP-Q,Thermo iCAP-Q,Thermo iCAP-Q,Thermo iCAP-Q,Thermo iCAP-Q,Thermo iCAP-Q,Thermo iCAP-Q,Thermo iCAP-Q,Thermo iCAP-Q,Thermo iCAP-Q,Thermo iCAP-Q,Thermo iCAP-Q,Thermo iCAP-Q
analyst,,KK,KK,KK,KK,KK,KK,KK,KK,KK,KK,KK,KK,KK,KK,KK,KK,KK,KK,KK,KK,KK,KK,KK,KK
session,,plgl-cbk6a-4-1,plgl-cbk6a-4-2,plgl-cbk6a-4-3,plgl-cbk6a-4-4,plgl-cbk6a-1-1,plgl-cbk6a-1-2,plgl-cbk6a-1-3,plgl-cbk6a-1-4,gl-cbk6a-20-1,gl-cbk6a-20-2,gl-cbk6a-20-3,gl-cbk6a-20-4,kfs-ok10vm-13-1,kfs-ok10vm-13-2,kfs-ok10vm-13-3,pl-ok10vm-13-1,pl-ok10vm-13-2,pl-ok10vm-13-3,pl-ok10vm-8-1,pl-ok10vm-8-2,pl-ok10vm-8-3,pl-ok10vm-8-4,pl-ok10vm-8-5,ap-ok10vm-8-1
stone-ID,,20130723170152-744520,20130723170152-744520,20130723170152-744520,20130723170152-744520,20130723170152-744520,20130723170152-744520,20130723170152-744520,20130723170152-744520,20130723170152-744520,20130723170152-744520,20130723170152-744520,20130723170152-744520,20130516113504-383207,20130516113504-383207,20130516113504-383207,20130516113504-383207,20130516113504-383207,20130516113504-383207,20130516113504-383207,20130516113504-383207,20130516113504-383207,20130516113504-383207,20130516113504-383207,20130516113504-383207
Cs,ug/g,0.182806769,0.036226498,0.20533913,0.124312464,0.098145123,0.142546818,0.010031265,0.096443432,0.030715216,0,0.037190423,0.058243074,0.443950633,0.151221451,0.411773984,0,0.073313314,0,0.236326684,0.008689151,0.63362619,0.550457039,0.327701601,0.715398586
Ba,ug/g,40.15157007,38.48511525,36.11201948,38.43288162,29.12709489,28.63929514,32.77213578,30.27944501,2.619480248,3.016002666,2.951832177,3.615532638,41.10506045,6.825245731,36.42289349,2.887766447,3.006418809,19.32709419,13.91311157,16.45400773,7.471901122,33.71669321,31.5644929,35.99518642
La,ug/g,0.528904736,0.317147037,0.565553967,0.219254758,0.154218497,0.144508559,0.126099525,0.433585873,0.772220458,0.379632853,0.960060625,0.546423233,0.109923824,0.084576251,0.118012367,0.249442869,0.357724764,0.171664011,1.205451115,0.98988121,0.627683959,2.970421561,0.4547414,64.558328
Ce,ug/g,1.094876699,0.875808327,1.044085122,0.26396338,0.301985991,0.250744885,0.110029913,0.816062503,2.314741752,0.963647944,2.866058537,1.432313888,0.269828436,0.205630891,0.214265728,1.253692111,1.291479468,0.57062036,1.526831831,1.165488794,0.863360723,4.07210792,0.597520562,118.6016558
Pr,ug/g,0.105546291,0.0399304,0.101722966,0.002796378,0.019669048,0.025342132,0.013821114,0.067916501,0.25690448,0.141530784,0.384552251,0.234133939,0.032622762,0.028251317,0.048527511,0.24302344,0.310476992,0.102856429,0.176331293,0.114930657,0.091096953,0.634679218,0.051600966,15.67845291
Nd,ug/g,0.35569826,0.281952407,0.502792976,0.069109237,0.081016278,0.234863002,0.017078638,0.419619347,1.439620523,0.851430572,1.652303791,1.073274262,0.238205399,0.069819847,0.194004578,1.201208377,1.576659868,0.635494275,0.470446799,0.207110867,0.187612943,2.540238998,0.173898806,66.30461701
Sm,ug/g,0.068327799,0.060931802,0.126766413,0.019913291,0.023344213,0.036092776,0,0.084111349,0.553087336,0.185657499,0.569928177,0.255472071,0,0.040236096,0,0.761461555,0.772313957,0.232240564,0.142690106,0,0,0.483229251,0,15.09110367
Eu,ug/g,1.068771106,0.937287273,0.906136086,0.924115025,0.841247894,0.612902705,0.678737393,0.921321626,0.150745001,0.044694879,0.147757686,0.104578169,0.438021198,0.09388329,0.727269329,0.118448396,0.18844946,0.338101844,1.131996909,0.857577691,0.756821496,1.075937647,1.23844944,4.992947894
Gd,ug/g,0.096111131,0.021426946,0.038209705,0.042015599,0.049254595,0.114229706,0.062298696,0.288386868,0.568525861,0.405713986,0.923877397,0.439732983,0,0.297133349,0.214448866,1.037005743,0.910617691,0.376931335,0.09031973,0,0.456244091,0.479801717,0,18.46600617
Tb,ug/g,0.01099907,0.009808499,0.023321403,0,0,0,0.009506047,0.020309741,0.178066503,0.038425142,0.13202215,0.093071519,0.010198938,0.042100545,0.049083555,0.209494036,0.275461349,0.120782089,0,0,0,0.100666622,0.016132143,2.810633063
Dy,ug/g,0.074625046,0.079856899,0.106803898,0.05219651,0,0.165560509,0.012899076,0.206692299,0.771339602,0.434503115,0.756053963,0.590341153,0.069196419,0.237299475,0.239771283,1.8144864,2.054151553,0.807759819,0.01870089,0.044693073,0,0.689198697,0,16.4723519
